question_id,category,company,role,round,topic,difficulty,question,evidence_type,source_note
3118,Service Companies,Tech Mahindra,DevOps Engineer,Coding Round,Cloud Basics,Hard,Explain Cloud Basics with a practical example. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3119,Service Companies,Cognizant,Software Engineer,System Design,DSA,Hard,Write a solution for a programming problem involving DSA. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3120,AI/ML Companies,IBM,DevOps Engineer,Online Assessment,Feature Engineering,Medium,What assumptions are important when applying Feature Engineering? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3121,Automotive Companies,ZF,Systems Engineer,Managerial Round,Automotive Ethernet,Medium,What real-time constraints matter when designing with Automotive Ethernet? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3122,Cloud Companies,Alibaba Cloud,Backend Engineer,System Design,Scalability,Easy,Explain Scalability and describe a practical production use case. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3123,AI/ML Companies,SAP,Security Engineer,System Design,Statistics,Medium,How would you build a solution using Statistics for a real-world problem? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3124,AI/ML Companies,Intel,Backend Engineer,Managerial Round,Generative AI,Medium,What data problems can affect a solution based on Generative AI? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3125,Product Companies,Adobe,Data Engineer,HR Round,System Design,Hard,What are the most important trade-offs when working with System Design? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3126,Cloud Companies,IBM,Security Engineer,HR Round,Scalability,Medium,How would you scale a system built around Scalability? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3127,AI/ML Companies,AMD,QA Engineer,Online Assessment,Probability,Medium,How would you explain Probability to an engineering team that has not used it before? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3128,Automotive Companies,Mahindra,Systems Engineer,HR Round,CAN Bus,Medium,How would you validate a solution based on CAN Bus before production? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3129,Product Companies,Visa,Systems Engineer,Technical Round,REST APIs,Easy,What are the most important trade-offs when working with REST APIs? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3130,Automotive Companies,BorgWarner,Security Engineer,System Design,AUTOSAR,Hard,What safety or reliability concerns arise with AUTOSAR? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3131,Automotive Companies,Mercedes-Benz,Cloud Engineer,Technical Round,Sensors,Hard,How would you debug a failure involving Sensors in a vehicle? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3132,AI/ML Companies,Dell Technologies,Systems Engineer,Online Assessment,Model Evaluation,Medium,How would you explain Model Evaluation to an engineering team that has not used it before? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3133,Service Companies,CGI,DevOps Engineer,Coding Round,DSA,Medium,What are the common mistakes candidates make when working with DSA? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3134,Cybersecurity Companies,Cisco,QA Engineer,System Design,Vulnerability Management,Easy,How would you investigate a security incident involving Vulnerability Management? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3135,Automotive Companies,Continental,Security Engineer,Coding Round,EV Systems,Medium,How would you optimize performance in a system using EV Systems? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3136,Automotive Companies,Continental,Full Stack Engineer,Online Assessment,Control Systems,Hard,Compare two approaches to implementing Control Systems in an automotive environment. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3137,Service Companies,DXC Technology,Full Stack Engineer,System Design,Java,Medium,How would you test a solution based on Java? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3138,Product Companies,Texas Instruments,DevOps Engineer,Online Assessment,Java,Hard,How would you design a scalable Java solution for a product used by millions of users? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3139,HR/Behavioral,Salesforce,Systems Engineer,Coding Round,Introduction,Medium,Why should we hire you for this role?,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3140,Product Companies,SAP,Frontend Engineer,Online Assessment,Debugging,Easy,What are the most important trade-offs when working with Debugging? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3141,Service Companies,Coforge,DevOps Engineer,Technical Round,Project Discussion,Easy,How would you optimize a solution that uses Project Discussion? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3142,Product Companies,Mastercard,Backend Engineer,Online Assessment,Java,Hard,How would you debug a production issue involving Java? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3143,Automotive Companies,Honda,Backend Engineer,Technical Round,Battery Management,Hard,How would you debug a failure involving Battery Management in a vehicle? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3144,Cloud Companies,DigitalOcean,Frontend Engineer,Technical Round,Monitoring,Hard,How would you monitor and alert on a system using Monitoring? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3145,Cloud Companies,ServiceNow,Backend Engineer,Technical Round,Cloud Architecture,Easy,How would you recover from a major failure in a system involving Cloud Architecture? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3146,Service Companies,Genpact,Cloud Engineer,Managerial Round,Problem Solving,Hard,What questions would you ask before implementing Problem Solving for a client? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3147,Cloud Companies,Salesforce,Frontend Engineer,HR Round,Kubernetes,Medium,Compare two approaches to Kubernetes for a large distributed application. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3148,Service Companies,Persistent Systems,Full Stack Engineer,Managerial Round,Java,Hard,Explain Java with a practical example. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3149,Cloud Companies,Huawei Cloud,Security Engineer,Coding Round,Scalability,Easy,How would you reduce cost without sacrificing reliability in a Scalability architecture? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3150,HR/Behavioral,Adobe,Frontend Engineer,Managerial Round,Adaptability,Easy,"Describe a time you handled an unexpected change in requirements. Explain the situation, your actions, and the result.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3151,Service Companies,Hexaware,Backend Engineer,Coding Round,Coding,Easy,How would you troubleshoot a client issue involving Coding? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3152,Cloud Companies,ServiceNow,Security Engineer,HR Round,Networking,Easy,How would you reduce cost without sacrificing reliability in a Networking architecture? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3153,Service Companies,LTIMindtree,Data Scientist,Coding Round,Agile,Medium,How would you troubleshoot a client issue involving Agile? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3154,AI/ML Companies,IBM,DevOps Engineer,Managerial Round,Model Evaluation,Medium,"How would you improve the accuracy, latency, or reliability of a system using Model Evaluation? Include the key trade-offs.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3155,Product Companies,Dell Technologies,ML Engineer,Online Assessment,API Design,Hard,What failure scenarios should be considered when designing around API Design? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3156,Cloud Companies,Alibaba Cloud,DevOps Engineer,Coding Round,Storage,Hard,How would you troubleshoot a failure involving Storage? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3157,Service Companies,Accenture,Cloud Engineer,Managerial Round,Coding,Hard,Describe a project where Coding could be used effectively. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3158,Service Companies,Virtusa,Data Scientist,Coding Round,Java,Medium,What questions would you ask before implementing Java for a client? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3159,Product Companies,VMware,QA Engineer,Technical Round,Testing,Hard,Describe an implementation of Testing and explain its time or resource complexity. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3160,AI/ML Companies,Intel,Full Stack Engineer,Technical Round,Python,Hard,How would you explain Python to an engineering team that has not used it before? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3161,Cybersecurity Companies,Tenable,Frontend Engineer,Coding Round,Zero Trust,Easy,What are the most common weaknesses associated with Zero Trust? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3162,Automotive Companies,BMW,Backend Engineer,Technical Round,ADAS,Easy,What real-time constraints matter when designing with ADAS? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3163,Cloud Companies,SAP,Full Stack Engineer,System Design,System Design,Easy,How would you reduce cost without sacrificing reliability in a System Design architecture? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3164,Cybersecurity Companies,Zscaler,Security Engineer,Managerial Round,Zero Trust,Easy,How would you prioritize vulnerabilities discovered while working with Zero Trust? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3165,Product Companies,Visa,Data Engineer,System Design,JavaScript,Easy,Describe an implementation of JavaScript and explain its time or resource complexity. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3166,Service Companies,Tech Mahindra,Security Engineer,Online Assessment,Problem Solving,Hard,Explain Problem Solving with a practical example. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3167,HR/Behavioral,TCS,Cloud Engineer,Behavioral Round,Time Management,Easy,"Describe a situation where you had to prioritize several tasks at once. Explain the situation, your actions, and the result.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3168,Service Companies,CGI,ML Engineer,Technical Round,Problem Solving,Easy,What questions would you ask before implementing Problem Solving for a client? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3169,Product Companies,SAP,ML Engineer,Technical Round,SQL,Medium,How would you improve an existing system that has problems related to SQL? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3170,Service Companies,DXC Technology,QA Engineer,Online Assessment,DBMS,Hard,Explain DBMS with a practical example. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3171,AI/ML Companies,NVIDIA,Security Engineer,HR Round,NLP,Easy,What assumptions are important when applying NLP? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3172,Cloud Companies,Cloudflare,Frontend Engineer,Technical Round,Networking,Easy,Explain Networking and describe a practical production use case. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3173,Product Companies,Oracle,Data Engineer,Coding Round,API Design,Easy,Describe an implementation of API Design and explain its time or resource complexity. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3174,Product Companies,Adobe,Cloud Engineer,HR Round,JavaScript,Medium,Describe an implementation of JavaScript and explain its time or resource complexity. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3175,Service Companies,DXC Technology,DevOps Engineer,Technical Round,Project Discussion,Hard,Describe a project where Project Discussion could be used effectively. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3176,HR/Behavioral,Microsoft,ML Engineer,Technical Round,Failure and Learning,Easy,Describe a situation where you had to work under a tight deadline.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3177,Service Companies,HCLTech,Data Engineer,Online Assessment,SQL,Easy,What questions would you ask before implementing SQL for a client? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3178,Product Companies,Cisco,ML Engineer,System Design,System Design,Hard,How would you test a feature that depends heavily on System Design? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3179,HR/Behavioral,Accenture,ML Engineer,Managerial Round,Decision Making,Medium,Tell me about a time you improved an inefficient process. Include how you measured whether the outcome was successful.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3180,Product Companies,Intuit,DevOps Engineer,System Design,Debugging,Medium,Explain Debugging and describe a situation where you used it in a project. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3181,Service Companies,TCS,DevOps Engineer,System Design,Coding,Hard,How would you explain Coding to a non-technical client? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3182,Cloud Companies,DigitalOcean,Data Engineer,HR Round,CI/CD,Hard,Explain CI/CD and describe a practical production use case. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3183,HR/Behavioral,Cisco,QA Engineer,Managerial Round,Teamwork,Easy,Tell me about a time when your original plan did not work. Give a specific example from an academic or project experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3184,AI/ML Companies,Samsung,Backend Engineer,System Design,Linear Algebra,Hard,How would you evaluate a system based on Linear Algebra? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3185,Product Companies,PayPal,Data Scientist,HR Round,Operating Systems,Medium,Describe an implementation of Operating Systems and explain its time or resource complexity. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3186,Product Companies,eBay,QA Engineer,Technical Round,DSA,Medium,How would you test a feature that depends heavily on DSA? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3187,Cybersecurity Companies,Qualys,Backend Engineer,Technical Round,Zero Trust,Easy,How would you respond if a production system showed signs of compromise involving Zero Trust? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3188,HR/Behavioral,Palo Alto Networks,Security Engineer,HR Round,Project Experience,Easy,Describe a situation where you had to prioritize several tasks at once. Explain how you communicated with the people involved.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3189,Service Companies,Capgemini,Cloud Engineer,Online Assessment,Testing,Medium,How would you explain Testing to a non-technical client? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3190,Product Companies,Texas Instruments,Data Engineer,Managerial Round,DBMS,Hard,"What performance problems can occur with DBMS, and how would you identify them? Include the key trade-offs.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3191,AI/ML Companies,Bosch,Systems Engineer,Managerial Round,NLP,Hard,How would you monitor a production system involving NLP? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3192,Product Companies,Samsung,Backend Engineer,Online Assessment,DSA,Hard,How would you test a feature that depends heavily on DSA? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3193,AI/ML Companies,SAS,Cloud Engineer,HR Round,Probability,Hard,How would you evaluate a system based on Probability? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3194,Service Companies,Wipro,QA Engineer,Coding Round,DSA,Easy,How would you optimize a solution that uses DSA? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3195,Product Companies,Samsung,Frontend Engineer,Managerial Round,API Design,Medium,How would you design a scalable API Design solution for a product used by millions of users? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3196,Product Companies,HP,Software Engineer,HR Round,DSA,Hard,Compare two common approaches to DSA. When would you choose each? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3197,Cybersecurity Companies,Check Point Software,Frontend Engineer,Technical Round,SIEM,Medium,How would you validate that a control based on SIEM is working? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3198,Service Companies,Virtusa,Backend Engineer,Online Assessment,Coding,Easy,Compare two approaches to Coding and discuss their advantages. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3199,Cloud Companies,Dell Technologies,QA Engineer,Online Assessment,Reliability,Medium,How would you recover from a major failure in a system involving Reliability? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3200,Cloud Companies,Dell Technologies,Security Engineer,Coding Round,Distributed Systems,Medium,How would you design a highly available system using Distributed Systems? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3201,Automotive Companies,Honda,Frontend Engineer,Coding Round,Battery Management,Easy,How would you validate a solution based on Battery Management before production? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3202,Cybersecurity Companies,Okta,Full Stack Engineer,Coding Round,Zero Trust,Easy,Compare two security approaches related to Zero Trust. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3203,Cloud Companies,Huawei Cloud,Software Engineer,HR Round,Distributed Systems,Hard,How would you design a highly available system using Distributed Systems? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3204,Cloud Companies,IBM,Data Engineer,HR Round,Cloud Architecture,Hard,Compare two approaches to Cloud Architecture for a large distributed application. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3205,Cloud Companies,IBM,Security Engineer,HR Round,Databases,Hard,How would you reduce cost without sacrificing reliability in a Databases architecture? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3206,Product Companies,Qualcomm,ML Engineer,Coding Round,REST APIs,Easy,What failure scenarios should be considered when designing around REST APIs? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3207,Product Companies,Texas Instruments,Full Stack Engineer,Technical Round,Java,Easy,Compare two common approaches to Java. When would you choose each? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3208,Product Companies,SAP,Security Engineer,Managerial Round,OOP,Medium,Explain OOP and describe a situation where you used it in a project. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3209,Product Companies,ServiceNow,Data Engineer,Coding Round,API Design,Easy,How would you improve an existing system that has problems related to API Design? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3210,Cloud Companies,Hewlett Packard Enterprise,Security Engineer,Coding Round,System Design,Easy,Explain System Design and describe a practical production use case. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3211,Product Companies,Cisco,ML Engineer,Coding Round,DSA,Hard,What are the most important trade-offs when working with DSA? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3212,Automotive Companies,Ford,QA Engineer,Technical Round,ADAS,Easy,What safety or reliability concerns arise with ADAS? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3213,Product Companies,Samsung,ML Engineer,Online Assessment,Operating Systems,Hard,What failure scenarios should be considered when designing around Operating Systems? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3214,Cloud Companies,Akamai,Full Stack Engineer,Online Assessment,Databases,Hard,How would you reduce cost without sacrificing reliability in a Databases architecture? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3215,Automotive Companies,Valeo,Systems Engineer,System Design,AUTOSAR,Medium,Explain AUTOSAR and describe its role in an automotive system. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3216,Product Companies,Oracle,Data Scientist,System Design,Java,Medium,What failure scenarios should be considered when designing around Java? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3217,Cybersecurity Companies,Palo Alto Networks,ML Engineer,System Design,Secure Coding,Easy,How would you validate that a control based on Secure Coding is working? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3218,Product Companies,Dell Technologies,Cloud Engineer,System Design,DSA,Hard,How would you improve an existing system that has problems related to DSA? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3219,Cloud Companies,Cloudflare,Security Engineer,Online Assessment,Monitoring,Hard,How would you monitor and alert on a system using Monitoring? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3220,AI/ML Companies,Hewlett Packard Enterprise,Frontend Engineer,Managerial Round,Linear Algebra,Easy,What can cause poor performance in a Linear Algebra pipeline? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3221,Cybersecurity Companies,Cisco,Cloud Engineer,Technical Round,Cloud Security,Hard,How would you prioritize vulnerabilities discovered while working with Cloud Security? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3222,Product Companies,Qualcomm,QA Engineer,Coding Round,System Design,Easy,How would you improve an existing system that has problems related to System Design? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3223,HR/Behavioral,NVIDIA,Software Engineer,System Design,Problem Solving,Hard,Describe a situation where you had to work under a tight deadline.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3224,Cybersecurity Companies,IBM Security,Security Engineer,Coding Round,Cryptography,Hard,What are the most common weaknesses associated with Cryptography? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3225,Service Companies,IBM Consulting,Backend Engineer,System Design,DBMS,Easy,What are the common mistakes candidates make when working with DBMS? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3226,Service Companies,Tech Mahindra,Systems Engineer,System Design,Testing,Easy,How would you explain Testing to a non-technical client? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3227,Cybersecurity Companies,Microsoft Security,Data Scientist,System Design,Web Security,Medium,What logs or telemetry would you collect for Web Security? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3228,Cloud Companies,Oracle,Backend Engineer,Technical Round,Cloud Architecture,Medium,How would you reduce cost without sacrificing reliability in a Cloud Architecture architecture? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3229,Product Companies,Dell Technologies,Full Stack Engineer,HR Round,Java,Hard,What failure scenarios should be considered when designing around Java? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3230,Service Companies,DXC Technology,Cloud Engineer,Coding Round,Java,Hard,How would you troubleshoot a client issue involving Java? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3231,AI/ML Companies,Hewlett Packard Enterprise,Backend Engineer,Managerial Round,MLOps,Easy,Compare two approaches commonly used for MLOps. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3232,Cloud Companies,ServiceNow,DevOps Engineer,System Design,System Design,Easy,How would you scale a system built around System Design? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3233,AI/ML Companies,Intel,Cloud Engineer,HR Round,Deep Learning,Easy,Compare two approaches commonly used for Deep Learning. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3234,HR/Behavioral,Adobe,Frontend Engineer,Managerial Round,Ownership,Medium,Describe a time when you had to learn a new technology quickly. Include how you measured whether the outcome was successful.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3235,Service Companies,Hexaware,Cloud Engineer,Online Assessment,Python,Medium,Explain Python with a practical example. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3236,Product Companies,Cisco,DevOps Engineer,System Design,REST APIs,Medium,What are the most important trade-offs when working with REST APIs? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3237,HR/Behavioral,Capgemini,Frontend Engineer,HR Round,Leadership,Medium,Describe a situation where you had to prioritize several tasks at once. Answer using a clear situation-action-result structure.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3238,Product Companies,Atlassian,QA Engineer,Online Assessment,SQL,Medium,What are the most important trade-offs when working with SQL? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3239,Automotive Companies,ZF,DevOps Engineer,HR Round,Real-Time Systems,Easy,What failure modes should be considered for Real-Time Systems? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3240,HR/Behavioral,Cognizant,Data Engineer,Online Assessment,Time Management,Medium,Tell me about yourself and your most relevant project experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3241,Service Companies,NTT DATA,Full Stack Engineer,Online Assessment,Problem Solving,Hard,How would you explain Problem Solving to a non-technical client? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
